processo,analista,favoravel,classe,assunto,relator,comarca,orgao_julgador,data_julgamento,data_publicacao,idacordao,ementa
10112762620218260438,emily,banco,apelação cível,bancários,helio faria,penápolis,18ª câmara de direito privado,2022-06-22,2022-06-23,15783635.0,"responsabilidade civil. ação declaratória cumulada com repetição de indébito e indenização por danos morais – autora que alega fraude na contratação de empréstimo realizado em seu benefício previdenciário – sentença de improcedência – inconformismo da autora – ausência de verossimilhança nas alegações do requerente que impede a aplicação da regra prevista no artigo 6º, inciso viii do código de defesa do consumidor – deveria a recorrente trazer extrato bancário de maio de 2021, de modo a impugnar a transferência bancária do valor do mútuo comprovado pelo recorrido; ou esclarecer que teve ciência do depósito e tentou realizar a devolução administrativa; ou formulou pedido de consignação judicial quando do ajuizamento desta demanda – banco recorrido que carreou a avença com todas as suas especificações, foto da suplicante e assinatura digital, não deixando dúvidas quanto à regularidade da contratação – o contrato digital via aplicativo mobile é uma realidade que não pode ser ignorada – precedentes desta corte – improcedência mantida – recurso não provido."
10086986220208260006,emily,banco,apelação cível,cartão de crédito,álvaro torres júnior,são paulo,20ª câmara de direito privado,2022-03-31,2022-03-31,15541691.0,"responsabilidade civil – indenização - banco réu apresentou documentos que revelam a contratação do cartão de crédito consignado - contrato contendo assinatura digital da mutuária é considerado válido – a assinatura digital comprova que a parte concorda com tal forma de contratação e, no caso, os documentos juntados aos autos as fls. 150-153 e fl. 155-156 mostram a assinatura digital e cópia de documento pessoal da autora, além de foto de sua imagem – comprovação também do crédito do valor do negócio em conta da autora - dano moral – inexistência - falta de conduta ilícita que possa ser imputada ao réu – sentença reformada para julgar improcedente esta ação – encargos sucumbenciais de responsabilidade exclusiva da autora - recurso provido."
10137000420218260224,emily,banco,apelação cível,bancários,álvaro torres júnior,guarulhos,20ª câmara de direito privado,2022-01-31,2022-01-31,15353845.0,"responsabilidade civil – indenização - banco réu apresentou documentos que revelam a contratação do cartão de crédito consignado - contrato contendo assinatura digital da mutuária é considerado válido – a assinatura digital comprova que a pessoa concorda com tal forma de contratação e, no caso, os documentos juntados aos autos as fls. 110-112 e fl. 125 mostram a assinatura digital e cópia de documento pessoal da autora e foto de sua imagem – comprovação também do crédito do valor do negócio em conta da autora - dano moral – inexistência - falta de conduta ilícita que possa ser imputada ao réu – litigância de má-fé – ocorrência - autora condenada ao pagamento de multa equivalente a 5% do valor atualizado da causa por litigância de má-fé – cabimento – manutenção de tal imposição - manutenção da sentença de improcedência da ação – honorários recursais – cabimento - honorários advocatícios majorados de r$ 2.000,00 para r$ 2.500,00, conforme o art. 85, § 11, do cpc, permanecendo suspensa a exigibilidade pela gratuidade processual - recurso desprovido."
10238813620218260007,emily,banco,apelação cível,bancários,álvaro torres júnior,são paulo,20ª câmara de direito privado,2022-09-20,2022-09-20,16061408.0,"contrato bancário e responsabilidade civil – indenização – descontos de valores em benefício previdenciário da autora - admissibilidade – banco réu apresentou documentos que revelam a origem do débito que deu ensejo aos descontos de valores - contrato de mútuo contendo assinatura digital da mutuária é considerado válido – documento juntado aos autos identifica a ""assinatura digital"" consubstanciada em ""selfie"" da autora contratante – comprovação também do crédito do valor do mútuo em conta corrente da mutuária - dano moral – inexistência de conduta ilícita do réu – indenização – descabimento - manutenção da sentença de improcedência da ação.
litigância de má-fé – multa de 5% sobre o valor da causa – manutenção da penalidade.
honorários recursais – descabimento – honorários advocatícios fixados no patamar máximo do art. 85, § 2º, do cpc.
recurso desprovido."
10001927220228260024,emily,banco,apelação cível,bancários,penna machado,andradina,14ª câmara de direito privado,2023-04-26,2023-04-26,16689706.0,"apelação cível. ação declaratória de inexistência de relação jurídica c/c indenização por danos morais. bancários. sentença de improcedência. inconformismo. não acolhimento. cerceamento de defesa. inocorrência. cartão de crédito consignado. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. aplicabilidade do cdc que não implica na procedência da ação. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. possibilidade. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. comprovação da disponibilização dos créditos em conta em favor do ora apelante. sentença mantida. ratificação, nos termos do artigo 252, do regimento interno. recurso não provido, majorando-se a verba honorária em sede recursal para o valor de r$ 2.200,00 (dois mil e duzentos reais), observada a gratuidade processual."
10128433220228260576,emily,banco,apelação cível,bancários,penna machado,são josé do rio preto,14ª câmara de direito privado,2023-03-07,2023-03-07,16528668.0,"apelação cível. ação declaratória de inexistência de débito c/c indenização por danos morais. bancários. sentença de improcedência. inconformismo. não acolhimento. cédula de crédito bancário (cdc varejo). dívida inscrita junto aos órgãos de proteção ao crédito por débito que alega desconhecer. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. possibilidade. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. sentença mantida. ratificação, nos termos do artigo 252, do regimento interno. recurso não provido, majorando-se a verba honorária em sede recursal para o percentual de 12% (doze por cento) sobre o valor atualizado da causa, observada a gratuidade processual."
10049531420228260068,emily,banco,apelação cível,bancários,penna machado,barueri,14ª câmara de direito privado,2022-08-22,2022-08-22,15971314.0,"apelação cível. ação de declaratória c/c obrigação de fazer e reparação de danos materiais e morais. bancários. sentença de improcedência. inconformismo. não acolhimento. empréstimos consignados. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. empréstimo consignado com desconto em benefício previdenciário. refinanciamento de empréstimo anterior. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa o inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. comprovação da disponibilização dos créditos em conta em favor do ora apelante. inexistência de ilícito. sentença mantida. recurso não provido."
10174848420218260451,emily,banco,apelação cível,cartão de crédito,penna machado,piracicaba,14ª câmara de direito privado,2022-06-03,2022-06-03,15734121.0,"apelação cível. ação declaratória de inexistência de débito c/c indenização de dano moral e material. bancários. sentença de improcedência. inconformismo. acolhimento em parte. empréstimos consignados. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. aplicabilidade do cdc que não implica na procedência da ação. empréstimo consignado com desconto em benefício previdenciário. refinanciamento de empréstimo anterior. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa o inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. comprovação da disponibilização dos créditos em conta em favor do ora apelante. inexistência de ilícito. condenação ao pagamento de multa por litigância de má-fé. inexistência de prova de má-fé processual da parte autora. afastamento. sentença parcialmente reformada. recurso parcialmente provido, tão somente para afastar a condenação da parte autora ao pagamento de multa por litigância de má-fé imposta nos autos, mantendo-se no mais a r. sentença de primeiro grau."
10037486720228260320,emily,banco,apelação cível,bancários,penna machado,limeira,14ª câmara de direito privado,2022-07-13,2022-07-13,15849489.0,"apelação cível. ação declaratória de inexistência de negócio jurídico c/c repetição de indébito e indenização por danos morais e materiais. bancários. sentença de improcedência. inconformismo. acolhimento em parte. empréstimos consignados. aplicabilidade do código de defesa do consumidor. empréstimo consignado com desconto em benefício previdenciário. refinanciamento de empréstimo anterior. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa do inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. comprovação da disponibilização dos créditos em conta em favor do ora apelante. inexistência de ilícito. condenação ao pagamento de multa por litigância de má-fé. inexistência de prova de má-fé processual da parte autora. afastamento. sentença parcialmente reformada. recurso parcialmente provido, tão somente para afastar a condenação da parte autora ao pagamento multa por litigância de má-fé imposta nos autos, mantendo-se no mais a r. sentença de primeiro grau, inclusive no tocante aos ônus inerentes à sucumbência."
10058170320218260322,emily,banco,apelação cível,bancários,penna machado,lins,14ª câmara de direito privado,2022-05-23,2022-05-23,15691063.0,"apelação cível. ação declaratória de inexigibilidade de débito c.c. indenização por danos morais. sentença de improcedência. inconformismo. não acolhimento. empréstimos consignados. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. aplicabilidade do cdc que não implica na procedência da ação. empréstimo consignado com desconto em benefício previdenciário. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa o inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. biometria facial e assinatura digital realizadas. fotografia coincidente com aquela constante no documento de identificação. requisitos legais preenchidos pelo requerido. ausente falha na prestação de serviços (artigo 14 do código de defesa do consumidor). sentença mantida. recurso desprovido."
